mid	machine	mname
1	FW	Fort Worth RDC
2	FW2	Ft Worth 2 (PH) RDC
3	NA	Nashville RDC
4	NA2	Nashville 2 (CO) RDC
5	NA3	Nashville 3 (LO) RDC
6	OR	Orlando RDC
7	OR2	Orlando RDC - TIF Conv
8	OR3	Orlando RDC (OR3)
9	ORPB	ORPB-EFL Division
10	ORPC	ORPC-NFL,SAD Division
11	ORPD	ORPD-WFL Division
12	ORPF	ORPF-EFL Division
13	ORPG	ORPG-NFL Division
14	ORPH	ORPH-WFL Division
15	ORPJ	ORPJ-SAD Division
16	ORTA	ORTA-Orlando TEST
17	QA3	Nashville RDC - QA
18	SA	San Antonio RDC
19	SA2	San Antonio RDC - TIF Conv
